Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,57,Yes,Fiber optic,Yes,Yes,Yes,One year,Yes,Electronic check,102.39,5761.56,0
Female,0,No,No,27,Yes,DSL,No,No,No,One year,No,Electronic check,97.0,2630.1,1
Male,1,Yes,No,5,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,86.27,390.42,0
Male,0,No,No,71,Yes,No,No,No,Yes,Two year,Yes,Electronic check,95.52,6834.61,0
Male,0,No,No,57,Yes,Fiber optic,Yes,No,No,One year,No,Electronic check,117.9,6708.87,0
Female,0,No,Yes,15,Yes,DSL,No,No,No,Two year,No,Bank transfer,61.97,840.92,0
Male,0,No,No,30,Yes,DSL,Yes,No,Yes,Month-to-month,Yes,Mailed check,24.86,771.23,1
Male,1,Yes,No,20,Yes,Fiber optic,No,No,No,Month-to-month,No,Electronic check,65.01,1310.64,0
Male,0,No,Yes,37,Yes,DSL,No,No,No,Two year,No,Bank transfer,22.74,826.39,0
Female,0,Yes,No,3,No,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,48.01,92.09,1
Male,0,No,Yes,41,Yes,No,No,No,Yes,Two year,Yes,Credit card,77.86,3281.72,0
Male,1,Yes,No,39,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Electronic check,49.58,1911.02,1
Male,1,Yes,No,26,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,87.91,2330.51,0
Male,0,Yes,No,2,No,Fiber optic,Yes,Yes,Yes,Two year,No,Bank transfer,101.84,180.52,0
Female,0,No,Yes,23,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,Credit card,60.88,1434.28,0
Male,1,Yes,Yes,23,Yes,No,No,Yes,No,Two year,Yes,Credit card,109.81,2528.3,0
Female,0,No,Yes,16,Yes,Fiber optic,No,No,No,Two year,No,Electronic check,26.14,419.64,0
Female,0,Yes,No,9,Yes,No,No,Yes,No,Two year,Yes,Mailed check,103.69,891.89,1
Female,1,Yes,No,13,Yes,DSL,Yes,No,No,One year,No,Mailed check,102.51,1359.04,0
Male,0,No,No,28,Yes,DSL,No,No,No,One year,No,Electronic check,50.84,1493.78,0
Female,0,Yes,No,27,Yes,No,Yes,No,No,Two year,No,Electronic check,48.47,1256.97,0
Male,0,Yes,No,51,No,Fiber optic,No,No,No,One year,No,Bank transfer,49.12,2463.51,1
Female,1,No,No,64,Yes,No,No,No,No,One year,Yes,Bank transfer,100.76,6595.87,0
Female,1,Yes,No,52,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,102.83,5297.08,0
Female,1,Yes,No,38,Yes,DSL,No,No,Yes,One year,Yes,Electronic check,51.63,1934.21,1
Female,0,Yes,No,65,No,Fiber optic,Yes,No,No,Two year,Yes,Credit card,78.44,5167.79,0
Female,1,No,Yes,18,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Mailed check,32.17,649.75,1
Female,1,No,Yes,63,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Bank transfer,65.82,4025.26,1
Female,0,No,No,51,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,119.88,6152.15,1
Female,0,No,Yes,9,Yes,DSL,No,No,No,Month-to-month,No,Electronic check,34.2,298.05,0
Male,0,Yes,No,13,Yes,Fiber optic,Yes,No,No,One year,Yes,Bank transfer,114.65,1482.98,0
Male,0,Yes,No,40,Yes,Fiber optic,No,No,No,Month-to-month,Yes,Credit card,102.07,4141.06,1
Female,0,No,No,55,Yes,DSL,No,No,Yes,Two year,Yes,Credit card,117.17,6426.94,0
